id_vaga,id_candidato,estado,modalidade,tipo_contratacao,nivel_profissional_vaga,nivel_ingles_vaga,nivel_espanhol_vaga,nivel_profissional_cand,nivel_ingles_cand,nivel_espanhol_cand,dias_ate_update
4530,25632.0,Rio de Janeiro,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4530,25529.0,Rio de Janeiro,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Intermediário,Básico,1.0
4531,25364.0,São Paulo,None,PJ/Autônomo,Sênior,Nenhum,Nenhum,None,Avançado,Intermediário,26.0
4531,25360.0,São Paulo,None,PJ/Autônomo,Sênior,Nenhum,Nenhum,None,None,None,0.0
4532,,Amazonas,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4533,26338.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Fluente,None,None,None,19.0
4533,24645.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Fluente,None,None,None,0.0
4534,26361.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,13.0
4534,26205.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,7.0
4534,26003.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,8.0
4534,25509.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,0.0
4534,23913.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,Fluente,Nenhum,0.0
4534,21458.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,0.0
4534,13951.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,0.0
4534,12819.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,3.0
4534,11132.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,0.0
4534,8838.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,10.0
4535,26338.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,1.0
4535,25983.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,Básico,Nenhum,0.0
4535,25519.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,0.0
4535,25454.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,20.0
4535,25445.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,3.0
4535,23387.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,4.0
4535,22977.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,7.0
4536,25362.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4536,25335.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Básico,0.0
4536,25304.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Fluente,Intermediário,1.0
4536,7714.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4537,25283.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Básico,0.0
4537,22662.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4537,22626.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,3.0
4537,22608.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,3.0
4537,22607.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,3.0
4537,14591.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Básico,3.0
4538,,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4539,,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4540,,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4541,,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4542,23624.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4543,26560.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Básico,0.0
4543,25322.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,Pleno,None,None,0.0
4544,24309.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4544,22085.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Avançado,Básico,2.0
4544,19972.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,56.0
4544,18121.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Intermediário,0.0
4545,25310.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,25268.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,Intermediário,Básico,0.0
4545,25267.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,25262.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,25260.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,25255.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,25194.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,25026.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,24970.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,24239.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,23516.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,21643.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,Intermediário,None,0.0
4545,21396.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,19483.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,15247.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4545,388.0,São Paulo,None,Hunting,Sênior,Nenhum,Nenhum,None,None,None,0.0
4546,25666.0,São Paulo,None,PJ/Autônomo,Pleno,Avançado,Nenhum,None,None,None,32.0
4546,25636.0,São Paulo,None,PJ/Autônomo,Pleno,Avançado,Nenhum,None,None,None,40.0
4546,25264.0,São Paulo,None,PJ/Autônomo,Pleno,Avançado,Nenhum,None,None,None,24.0
4546,24988.0,São Paulo,None,PJ/Autônomo,Pleno,Avançado,Nenhum,None,None,None,0.0
4546,24979.0,São Paulo,None,PJ/Autônomo,Pleno,Avançado,Nenhum,None,None,None,0.0
4546,24928.0,São Paulo,None,PJ/Autônomo,Pleno,Avançado,Nenhum,None,Avançado,Nenhum,5.0
4547,22845.0,São Paulo,None,PJ/Autônomo,Júnior,Avançado,Nenhum,None,None,None,0.0
4548,,Espirito Santo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4549,,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4550,26354.0,São Paulo,None,CLT Full,Pleno,Nenhum,Nenhum,None,None,None,27.0
4550,25334.0,São Paulo,None,CLT Full,Pleno,Nenhum,Nenhum,None,None,None,0.0
4550,25303.0,São Paulo,None,CLT Full,Pleno,Nenhum,Nenhum,None,None,None,1.0
4550,3081.0,São Paulo,None,CLT Full,Pleno,Nenhum,Nenhum,None,None,None,1.0
4551,25363.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,2.0
4552,25631.0,São Paulo,None,PJ/Autônomo,Júnior,Avançado,Nenhum,None,Intermediário,Básico,0.0
4553,25598.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4553,25338.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,Avançado,Básico,0.0
4553,25336.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4553,25325.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,Intermediário,Básico,9.0
4553,25158.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4553,25157.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4553,24788.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4553,24374.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4553,3779.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4554,26182.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,Fluente,Nenhum,3.0
4554,25604.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,15.0
4554,25603.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,40.0
4554,25371.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4554,25369.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4554,25368.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,5.0
4554,25346.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,62.0
4554,24487.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4554,24432.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4555,,São Paulo,None,PJ/Autônomo,Júnior,Avançado,Nenhum,None,None,None,0.0
4556,25268.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,Intermediário,Básico,3.0
4556,23516.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,None,None,3.0
4556,21060.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,None,None,0.0
4556,9048.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,None,None,0.0
4557,25322.0,Paraná,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,Pleno,None,None,0.0
4557,20093.0,Paraná,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,2.0
4558,25675.0,São Paulo,None,CLT Full,Especialista,Fluente,Nenhum,None,None,None,2.0
4558,21052.0,São Paulo,None,CLT Full,Especialista,Fluente,Nenhum,None,None,None,10.0
4559,25361.0,São Paulo,None,PJ/Autônomo,Sênior,Nenhum,Nenhum,None,None,None,0.0
4559,22553.0,São Paulo,None,PJ/Autônomo,Sênior,Nenhum,Nenhum,None,None,None,0.0
4559,20903.0,São Paulo,None,PJ/Autônomo,Sênior,Nenhum,Nenhum,None,None,None,0.0
4560,,São Paulo,None,CLT Cotas,Pleno,Nenhum,Nenhum,None,None,None,0.0
